Sentence ,Masked Sentence,Options,Truth,Options,Rule
More than twenty carriages had already been ranged along the street by the mounted police.,More than twenty carriages <***> already <***> ranged along the street by the mounted police.,"had,have * been,be ",had * been ,"has, had * be, been ",S_V 
"Inside the building the candles in both chandeliers were already lit, as well as all the candles in front of the icons had also been lit.","Inside the building the candles in both chandeliers <***> already lit, as well as all the candles in front of the icons <***>also been lit.","were,was*had,having",were*had,"was,were * have,had",S_V
"Every time the door creaked every one turned round, expecting to see the bride and bridegroom enter.","Every time the door <***>, every one turned round, <***> to see the bride and bridegroom enter.","creaked,creak * expecting,expected",creaked * expecting,"creaked,creaks * expecting,expects",S_V
"At first they expected the bride and bridegroom to enter at any moment, and attached no importance to the delay.","At first they <***> the bride and bridegroom to enter at any moment, and <***> no importance to the delay.","expected,expecting*attached,attaching",expected*attached ,,S_V
"Then they turned more and more often toward the door, wondering whether anything had happened.","Then they <***> more and more often toward the door, wondering whether anything <***> happened.","turned,turns*had,have ",turned*had ,,S_V
"The archdeacon, as if to draw attention to the value of his time, coughed impatiently, making the windows vibrate.","The archdeacon, as if to <***> attention to the value of his time, <***> impatiently, making the windows vibrate.","draw,drew*coughed,cough",draw*coughed,,S_V
"From the choir, growing weary of waiting, came the sound of voices being tried and the blowing of noses.","From the choir, <***> weary of waiting, came the sound of voices <***> tried and the blowing of noses.","growing,grow*being,been",growing*being ,,S_V
The best man went to find out what had occurred.,The best man <***> to find out what <***> occurred.,"went,go*had,have",went*had,,S_V
"But in the corridor there was nobody, and in despair he returned and addressed Oblonsky, who was quietly smoking.","But in the corridor there <***> nobody, and in despair he returned and addressed Oblonsky, who <***> quietly smoking.","was,were*was,is",was*was,,S_V
The shirt Levin had been wearing since the morning was crumpled and quite unfit to wear with the fashionable low-cut waistcoat.,The shirt Levin <***> wearing since the morning<***> crumpled and quite unfit to wear with the fashionable low-cut waistcoat.,"had,have*was,were",had*was,,S_V
"They sent for one of Oblonsky's, but it was much too wide and too short.","They <***> for one of Oblonsky's, but it <***> much too wide and too short.","sent,sending *was,were",sent*was,,S_V
"They were obliged to send to the Shcherbatskys' after all, and the things had to be unpacked.","They <***> obliged to send to the Shcherbatskys' after all, and the things <***> to be unpacked.","were,was*had,have",were*had,,S_V
"At last the guilty Kuzma, quite out of breath, rushed in with the shirt. was found unconscious.","At last the guilty Kuzma, quite out of breath, <***> in with the shirt <***> found unconscious.","rushed,rushes*was,were",rushed*was,,S_V
"Only just in time – they were hoisting the trunk into the cart,' he gasped.","Only just in time – they <***> hoisting the trunk into the cart,' he <***>.","were,was*gasped,gasps",were*gasped,,S_V
"Three minutes later Levin, not looking at the clock to avoid upsetting himself still more, ran as fast as he could down the corridor.","Three minutes later Levin, not looking at the clock to avoid upsetting <***> still more, ran as fast as he <***> down the corridor.","himself,herself*could,would",himself*could,,R_A*S_V
"That won't help matters,' remarked Oblonsky, smiling and following without haste.","That <***> help matters,' <***> Oblonsky, smiling and following without haste.","won't,can't*remarked,remarks",won't*remarked,,S_V
More dead than alive!' people in the crowd were saying as Levin met his bride at the door and entered the church with her.,More dead than alive!' people in the crowd <***> saying as Levin <***> his bride at the door and <***> the church with her.,"were,was*met,meet*entered,enters",were*met*entered,,S_V
"Oblonsky told his wife the reason of the delay, and the guests smiled and whispered to one another.","Oblonsky <***> his wife the reason of the delay, and the guests<***> and <***> to one another.","told,said*smiled,smiles*whispered,whispers",told*smiled*whispered,,S_V
Levin saw no one and nothing; he did not take his eyes off his bride.,Levin <***> no one and nothing; he did not <***> his eyes off his bride.,"saw,see*take,took ",saw*take,,S_V*N_P_I
"I thought you meant to run away,' she said, smiling at him.","I thought you <***> to run away,' she said, <***> at him.","meant,mean*smiling,smiles ",meant*smiling ,,S_V
"I am ashamed to tell it,' he said with a blush, and was obliged to turn round to the approaching Sergius Ivanich.","I<***> ashamed to tell it,' he said with a blush, and <***>obliged to turn round to the approaching Sergius Ivanich.","am,is*was,were",am*was,,S_V
"Nice story that, about your shirt!' said Sergius Ivanich with a smile and shake of the head tilting away with sigh of relief.","Nice story that, about your shirt!' <***> Sergius Ivanich with a smile and shake of the head <***> away with sigh of relief.","said,says*tilting,tilt",said*tilting,,S_V
"Yes, yes!' answered Levin, unable to understand what was being said.","Yes, yes!' <***> Levin, unable to understand what <***> being said.","answered,answers*was,were",answered*was,,S_V
"You have got to decide an important point, and you are in exactly the right frame of mind to appreciate its importance.","You <***> got to decide an important point, and you <***> in exactly the right frame of mind to appreciate its importance.","have,having*are,is",have*are,,S_V
"Dolly advanced and was about to say something, but could not speak and began crying and laughing in an unnatural manner.","Dolly advanced and <***> about to say something, but <***> speak and began crying and laughing in an unnatural manner.","was,were*couldn't,shouln't",was*couldn't,,S_V*N_P_I
Kitty gazed at everybody with a look as absent-minded as Levin's and became a fool himself.,Kitty <***> at everybody with a look as absent-minded as Levin's and became fool <***>.,"gazed,gaze* himself,themselves",gazed* himself ,,S_V*R_A
Meanwhile the clergy put on their vestments and the priest and deacon came forward to the lectern that stood near the entrance doors.,Meanwhile the clergy put on their vestments and the priest and deacon <***> forward to the lectern that <***> near the entrance doors.,"came,come*stood,stand",came*stood,,S_V
The priest turned to Levin and said something that Levin did not hear.,The priest <***> to Levin and said something that Levin <***> hear.,"turned,turns*didn't,doesn't",turned*didn't ,,S_V*N_P_I
"Take the bride's hand and lead her,' said the best man.","<***> the bride's hand and lead her,' <***> the best man.","take,took*said,say",take*said,,S_V
"When at last he had taken her hand properly, the priest went a few steps in front of them and halted at the lectern.","When at last he <***> taken her hand properly, the priest <***> a few steps in front of them and halted at the lectern.","had,have*went,go",had*went,,S_V
"The crowd of friends and relatives, their voices buzzing and the ladies' trains rustling, moved after them.","The crowd of friends and relatives, their <***> buzzing and the ladies' trains rustling, <***>after them.","voices,voice*moved,moves",voices*moved,,S_V
The two friends decided to go sky-diving after their graduation as they were adrenaline junkies,The two friends decided to go sky-diving after <***> graduation as they <***> adrenaline junkies,"them,their*was,were",their*were,,S_V
The church became so quiet that the drops of wax were heard falling from the candles.,The church <***> so quiet that the drops of wax <***> heard falling from the candles.,"became,become*were,was",became*were,,S_V
"Oblonsky stepped up cautiously, whispered something to him, made a sign to Levin, and stepped back again.","Oblonsky <***> up cautiously, <***> something to him, made a sign to Levin, and <***> back again.","stepped,stepp*whispered,whispers*stepped,steps",stepped*whispered*stepped,,S_V
It was the same priest who had heard Levin's confession.,It <***> the same priest who <***> heard Levin's confession.,"was,were*had,have",was*had,,S_V
"Then he gave them the candles, took the censer, and slowly stepped away from them.","Then he <***> them the candles, <***> the censer, and slowly <***> away from them.","gave,give*took,take*stepped,steps",gave*took*stepped,,S_V
"Is it really true?' thought Levin, and glanced round at his bride.","<***> it really true?' thought Levin, and <***> round at his bride.","Is,were*glanced,glances",Is*glanced,,S_V
"She did not turn, but her high frilled collar moved, rising to her pink little ear.","She did not <***> , but her high frilled collar <***>, rising to her pink little ear.","turn,turns*moved,moves",turn*moved,,N_P_I*S_V
He saw that a sigh had been suppressed within her breast and that the little hand in its long glove holding the candle trembled.,He <***> that a sigh <***> been suppressed within her breast and that the little hand in its long glove holding the candle trembled.,"saw,see*had,have",saw*had,,S_V
"Bless us, Lord!' slowly succeeding one another, and vibratingly resonant, came the solemn tones.","Bless us, Lord!' slowly <***> one another, and vibratingly resonant, <***> the solemn tones.","suceeding,suceed*came,come",suceeding*came,,S_V
Levin listened to the words and was struck by them.,Levin <***> to the words and <***> struck by them.,"listened,listen*was,were",listened*was,,S_V
"How did they find out that it is help, exactly help that I need?' he wondered, remembering his late fears and doubts.","How did they <***> out that it is help, exactly help that I need?' he <***>, remembering his late fears and doubts.","find,found*wondered,wonders",find*wondered,,S_V
What can I do in this awful matter without help from themselves?,What can I <***>in this awful matter without help from <***>?,"do,did*themselves",do*themselves,,S_V*R_A
"When the deacon had finished the prayer for the Imperial family, the priest holding a book turned to the bride and bridegroom.","When the deacon <***> finished the prayer for the Imperial family, the priest <***> a book turned to the bride and bridegroom.","had,have*holding,hold",had*holding,,S_V
"I am quite satisfied,” replied the worthy merchant; “I have sold my cotton at three hundred and seventy-five per cent. profit.","I <***> quite satisfied,” replied the worthy merchant; “I <***> sold my cotton at three hundred and seventy-five per cent. profit.","am,is*have,had",am*have,,S_V
"“Are you pleased with the charming cargo I brought you on board the Dolphin?” continued Captain Playfair, showing him his brave young wife","“Are you <***> with the charming cargo I <***> you on board the Dolphin?” continued Captain Playfair, showing him his brave young wife","pleased,please*brought,buy",pleased*brought,,S_V
From the expression in them he concluded that she understood them as he did; but this was not so.,From the expression in them he <***>that she <***>them as he did; but this<***> not so.,"concluded,concludes*understood,understand*was,were",concluded*understood*was,,S_V
She understood hardly anything of the service and was not even listening to the words of the ceremony.,She <***> hardly anything of the service and <***> not even listening to the words of the ceremony.,"understood,understand*was,were",understood*was,,S_V
"She could neither listen nor understand, so deep was the one feeling that filled her soul and became ever stronger and stronger.","She<***> neither listen nor understand, so deep <***> the one feeling that filled her soul and became ever stronger and stronger.","could,would*was,were",could*was,,S_V
Those six weeks had been the most blissful and at the same time the most trying of her life.,Those six weeks <***> the most blissful and at the same time the most <***> of her life.,"had,have*trying,try",had*trying,,S_V
"At one moment she was horrified at this indifference, and the next moment rejoiced at that which caused her indifference.","At one moment she <***> horrified at this indifference, and the next moment <***>at that which caused her indifference.","was,were*rejoiced,rejoice",was*rejoiced,,S_V
"Several times the couple tried to guess what was expected of them, and blundered each time, the priest prompting them in whispers.","Several times the couple <***> to guess what was expected of them, and <***> each time, the priest prompting them in whispers.","tried,tries*blundered,blunders",tried*blundered,,S_V
"Dolly, Chirikov, and Oblonsky came forward to help them by collecting money from people.","Dolly, Chirikov, and Oblonsky <***> forward to help them by <***> money from people.","came,cames*collecting,collects",came*collecting,,S_V
He felt that any kind of smile would hurt their feelings.,He <***> that any kind of smile <***> hurt their feelings.,"felt,fell*would,should",felt*would,,S_V
"Thou hast from the beginning created them male and female,' read the priest when they had exchanged rings.","Thou hast from the beginning <***> them male and female,' read the priest when they<***> exchanged rings.","created,creates*had,have",created*had,,S_V
Through Thee the wife is knit to the husband for a helpmeet and to procreate the human race.,Through Thee the wife<***> knit to the husband for a helpmeet and to <***> the human race.,"is,are*procreate,procreates",is*procreate,,S_V
"ALL Moscow, including both relatives and friends, had congregated in the church.","ALL Moscow, including both relatives and friends, <***> <***>  the church.","congregated,congregates*in,on",congregated*in,,S_V
"It was usually started by the men, for the women were absorbed in watching every detail of the service, which always fascinates them.","It <***> usually started by the men, for the women <***> absorbed in watching every detail of the service, which always fascinates them.","was,am*were,is",was*were,,S_V
"It is almost as unsuitable at a wedding as black,' remarked Mrs. Korsunskaya.","It <***> almost as unsuitable at a wedding as black,' <***> Mrs. Korsunskaya.","is,are*remarked,remarks",is*remarked,,S_V
"With her complexion it's her only salvation,' replied Princess Drubetskaya.","With her complexion it <***> her only salvation,' <***>Princess Drubetskaya.","is,are*replied,replies",is*replied,,S_V
"I wonder they are having the wedding in the evening, like tradespeople.'","I wonder they<***><***>the wedding in the evening, like tradespeople.'","are,is*having,has",are*having,,S_V
"Young Shcherbatsky told the old Maid of Honour Nikolayeva that he intended to put the crown on Kitty's chignon, to make her happy.","Young Shcherbatsky<***> the old Maid of Honour Nikolayeva that he <***> to put the crown on Kitty's chignon, to make her happy.","told,said*intended,intend",told*intended,,S_V
"I am past all that, Darya Alexandrovna,' he answered, and his face became unexpectedly sad and serious.","I <***> past all that, Darya Alexandrovna,' he <***>, and his face became unexpectedly sad and serious.","am,is*answered,answers",am*answered,,S_V
Oblonsky was telling his sister-in-law the pun he had made about 'dissolving marriages.',Oblonsky <***> telling his sister-in-law the pun he <***> made about 'dissolving marriages.',"was,were*had,have",was*had,,S_V
"I must put her wreath straight,' she replied, without listening.","I <***> put her wreath straight,' she <***>, without listening.","must,might*replied,replies",must*replied,,S_V
What a pity she has grown so much plainer!' remarked Countess Nordston to the Princess Lvova.,What a pity she <***> grown so much plainer!'<***> Countess Nordston to the Princess Lvova.,"has,have*remarked,remarks",has*remarked,,S_V
All the same he is not worth her little finger and was always jealous of her.,All the same he<***> not worth her little finger and <***>  always jealous of her.,"is,are*was,were",is*was,,S_V
"No, I like him very much, and not just because he will be my brother-in-law,' answered the Princess.","<***>, I like him very much, and not just because he <***> be my brother-in-law,' answered the Princess.","No,never*will,shall",No*will,,N_P_I*S_V
"Well, let us see which of them will step first on the mat!","Well, let us <***> which of them <***> step first on the mat!","see,sees*will,shall",see*will,,S_V
"We are all submissive wives, it is in our nature.'","We <***> all submissive wives, it <***> in our nature.'","are,is*is,was",are*is,,S_V
"Dolly, who was standing near, heard, but did not reply.","Dolly, who <***> standing near, heard, but <***> reply.","was,were*didn't,don't",was*didn't,,S_V*N_P_I
Her eyes were moist and she could not have spoken without bursting into tears.,Her eyes <***> moist and she could not<***>  spoken without bursting into tears.,"were,was*have,has",were*have,,S_V
"Among the brides that came to her mind was her dear Anna, about whose impending divorce she had heard a while ago.","Among the brides that <***>  to her mind was her dear Anna, about whose impending divorce she <***> heard a while ago.","came,come*had,have",came*had,,S_V
"She too had once stood with a veiled head, pure and crowned with an orange blossom.","She too <***>  once <***>  with a veiled head, pure and crowned with an orange blossom.","had,have*stood,stand",had*stood,,S_V
"There were seamen, merchants, manufacturers, magistrates, and some of every denomination gathered here","There  <***> seamen, merchants, manufacturers, magistrates, and some of every denomination  <***> here","were,was*gathered,gathers",were*gathered,,S_V
"Now hear how the deacon will roar, ""Wives, obey your husbands""!'","Now hear how the deacon  <***> roar, ""Wives,  <***> your husbands""!'","will,shall*obey,obey",will*obey ,,S_V
It seems he will take her to his estate straight off.',It  <***> he  <***> take her to his estate straight off.',"seems,seem*will,shall",seems*will,,S_V
You were maintaining that crinolines were being worn fuller at the back!,You  <***> maintaining that crinolines were being <***> fuller at the back!,"were,was*worn,worning",were*worn,,S_V
"Just look at that one in the puce dress – an ambassador's wife, they say.","Just  <***> at that one in the puce dress – an ambassador's wife, they  <***>.","look,looks*say,says",look*say,,S_V
"See how it's draped: this way, and back again.'","See how it <***>  <***>: this way, and back again.'","is,are*draped,drape",is*draped,,S_V
"What a darling the bride is, like a lamb decked for the slaughter!","What a darling the bride  <***>, like a lamb  <***> for the slaughter!","is,are*decked,decks",is*decked,,S_V
"But whatever you may say, one does feel sorry for a girl.'","But whatever you may  <***>, one  <***> feel sorry for a girl.'","say,says*does,do",say*does,,S_V
So chattered the crowd of women who had managed to get inside the church.,So  <***> the crowd of women who  <***>managed to get inside the church.,"chattered,chatters*had,have",chattered*had,,S_V
"WHEN THE FIRST PART of the ceremony was over, a verger spread out a piece of pink silk cloth in front of the lectern.","WHEN THE FIRST PART of the ceremony <***> over, a verger  <***> out a piece of pink silk cloth in front of the lectern.","was,were*spread,spreads",was*spread,,S_V
"Kitty listened to the words of the prayer, trying to comprehend their meaning but unable to do so.","Kitty  <***> to the words of the prayer,  <***> to comprehend their meaning but unable to do so.","listened,listen*trying,try",listened*trying,,S_V
"Triumph and radiant joy filled her heart more and more as the ceremony proceeded, and made it impossible for her to be attentive.","Triumph and radiant joy  <***>her heart more and more as the ceremony  <***>, and made it impossible for her to be attentive.","filled,fills*proceeded,proceeds",filled*proceeded,,S_V
"It is all very beautiful,' thought Kitty as she heard these words, 'and could not be different.'","It <***> all very beautiful,' thought Kitty as she  <***> these words to Jim while she <***> a banana.","is,are*say,said*eat,ate",is*said*ate,,S_V
"And a smile of joy, which involuntarily communicated itself to all who regarded her, shone on her radiant face.","And a smile of joy, which involuntarily communicated  <***> to all who regarded her,  <***> on her radiant face.","itself,himself*shone,shine",itself*shone,,R_A*S_V
"Levin glanced round at her, was struck by the joyous radiance of her face, and was involuntarily infected by her feeling.","Levin  <***> round at her,  <***>struck by the joyous radiance of her face, and was involuntarily infected by her feeling.","glanced,glances*was,were",glanced*was,,S_V
The spark of joy that was glowing in Kitty's heart seemed to have spread to every one in the church.,The spark of joy that  <***> glowing in Kitty's heart seemed to  <***>spread to every one in the church.,"was,were*have,has",was*have,,S_V
Levin fancied that the priest and deacon wanted to smile just as he did.,Levin  <***> that the priest and deacon  <***>to smile just as he did.,"fancied,fancies*wanted,wants",fancied*wanted,,S_V
"Having lifted the crowns from their heads, the priest read the last prayer and congratulated the married couple."," <***> lifted the crowns from their heads, the priest  <***> the last prayer and congratulated the married couple.","Having,have*read,reading",Having*read,,S_V
"He wished to speak to her, but did not know whether it was all over yet.","He <***> to speak to her, but did not know whether it  <***> all over yet.","wished,wishes*was,were",wished*was,,S_V
"Levin kissed her carefully on her smiling lips, offered his arm, and with a feeling of strange closeness led her out of the church.","Levin <***> her carefully on her smiling lips,  <***> his arm, and with a feeling of strange closeness led her out of the church.","kissed,kisses*offered,offers",kissed*offered,,S_V
After supper that same night the young couple left for the country and returned home after next day.,After supper that same night the young couple  <***> for the country and  <***> home after  next day.,"left,lefts*returned,returns",left*returned,,S_V
VRONSKY AND ANNA HAD ALREADY BEEN TRAVELLING together in Europe for three months.,VRONSKY AND ANNA  <***> ALREADY BEEN <***> together in Europe for three months.,"had,have * travelling,travels",had * travelling,,S_V
"They had visited Venice, Rome, and Naples, and had only just reached a small Italian town where they meant to make a longer stay.","They  <***> visited Venice, Rome, and Naples, and  <***> only just reached a small Italian town where they meant to make a longer stay.","had,has*had,have",had*had,,S_V
"The lady had been for a walk, but has now returned,' replied the waiter.","The lady  <***> been for a walk, but  <***> now returned,' replied the waiter.","had,have*has,have",had*has,,S_V
"After an absent-minded glance at the man who was still standing there watching him, he was about to go in.","After an absent-minded glance at the man who  <***> still standing there watching him, he  <***> about to go in.","was,were*was,were",was*was,,S_V
"It was really Golenishchev, his fellow-student in the Corps des Pages.","It  <***> really Golenishchev, his fellow-student <***> the Corps  des Pages.","was,were*in,on",was*in,,S_V
"In the Corps Golenishchev had been a Liberal, he left the Corps a civilian, and had never served.","In the Corps Golenishchev  <***> been a Liberal,  he left the Corps a civilian, and <***> never served.","had,have*had,have",had*had,,S_V
On leaving the Corps the two friends had separated and met but once since then.,On leaving the Corps the two friends  <***> separated and <***> but once since then.,"had,has*met,meet",had*met,,S_V
On that occasion Vronsky found that Golenishchev had chosen some high-flown Liberal activity and therefore felt he must despise Vronsky's profession and activities.,On that occasion Vronsky  <***> that Golenishchev  <***>chosen some high-flown Liberal activity and therefore felt he must despise Vronsky's profession and activities.,"found,find*had,have",found*had,,S_V
"It is a matter of absolute indifference to me, but if you wish to know me you must respect me.'","It  <***> a matter of absolute indifference to me, but if you wish to know me you  <***> respect me.'","is,are*must,might",is*must,,S_V
"And Golenishchev had remained contemptuously indifferent to Vronsky's attitude, so that that meeting ought to have had separated them still further.","And Golenishchev  <***> remained contemptuously indifferent to Vronsky's attitude, so that that meeting ought to  <***> separated them still further.","had,have*have ,has",had*have,,S_V
Yet now they brightened up and exclaimed with pleasure at recognizing one another.,Yet now they  <***> up and exclaimed with pleasure at  <***> one another.,"brightened,brightens*recognizing,recognize",brightened*recognizing,,S_V
"Vronsky would never have thought he could be so pleased to see Golenishchev, but probably he was unaware how bored he was.","Vronsky  <***>never have thought he could be so pleased to see Golenishchev, but probably he <***>  unaware how bored he was.","would,should*was,were",would*was,,S_V
A similar expression of pleasure replaced the former anxious look on Golenishchev's face.,A similar expression of pleasure  <***> the former anxious <***> on Golenishchev's face.,"replaced,replaces*look,looks",replaced*look,,S_V
